Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Honduras,HND,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,4.189055068,2.923974806,2.133005408,5.684513241,2.077101925,2.605665472,2.621119967,1.44868121,2.605168305,4.445575283,-2.777540089,3.864523836,5.345805013,14.77894343,6.384800923,8.532189127,12.19947972,75.07387066,8.354854211,11.29245476,3.16932828,7.740048613,3.984818125,3.263915713,1.661483501,2.128677906,2.242502679,9.177510458,11.50369253,25.00868749,26.28367103,3.67417388,10.90861435,21.33880068,23.71396868,18.19357784,16.81160514,10.29899491,7.575727283,7.993446741,8.08434938,5.131939922,5.759740767,6.451983852,7.279164158,5.348663465,6.625507168,7.790513639,7.653732423,4.676043295,7.807205237,3.579787426,1.374030519,6.849356725,6.932770369,3.678068144,4.512842976,1.947216915,4.126697133,4.634186675,3.800923573
Haiti,HTI,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,2.220624664,-3.607406878,6.625054306,12.15602395,6.300888104,5.048370581,2.212126811,-3.386871216,2.571977011,-16.018326,2.87440962,1.543641614,19.78758545,14.504314,19.17836805,18.96025898,3.883896695,-3.141579089,3.125090558,19.26319741,10.04785874,3.330958241,9.143092799,11.5269242,9.973758954,15.93459843,-10.97594666,27.42762156,7.820709649,11.99575008,14.61025881,20.90816597,18.33664245,56.7078918,15.96337739,9.976590041,12.7269915,14.15741763,7.031402537,91.38066379,13.24832987,7.597537078,15.0211285,24.32355634,13.42100792,9.332012012,9.154107191,9.74189301,11.04517596,7.393823467,4.320730613,8.207793791,8.077148842,3.338825699,3.950430657,15.15999718,14.00537303,7.278760516,17.55061276,20.5805876,19.34195125
Mexico,MEX,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,3.418054338,2.560773023,3.211692187,5.800203533,1.554566052,4.956987207,3.170000301,1.022533659,6.969811599,2.682680975,6.358650505,6.539215679,13.38736805,23.13284835,15.58259721,19.36354569,30.44223576,16.00237853,19.67329801,40.78812844,26.29746578,61.84414151,86.63359287,59.4226459,58.73138332,69.35087878,142.8364894,100.4472642,26.80694804,28.19638053,23.42971901,14.84439191,36.16304601,8.810504399,38.46465708,26.54551237,18.74486929,15.42968529,16.10281905,11.15220612,6.041490115,5.503365872,4.039455569,7.961710977,5.873921411,6.389222408,5.789061291,6.172512071,3.947662895,4.545151338,5.842873195,4.065926968,1.529730821,4.439719163,2.835086218,5.605277513,6.71270643,4.946411123,4.123807809,4.167274101,5.164095655
Nicaragua,NIC,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,-0.047370487,-0.535467332,-0.408188198,4.52064236,0.840469556,3.661066805,1.266337669,4.489959331,1.171810258,2.438735202,3.031656989,4.250734608,16.66420835,21.79128608,4.732033564,10.43400247,11.85247104,3.771266462,31.65848094,36.978628,11.72111866,16.74571589,11.00198743,38.96199866,167.1889707,281.4601959,523.0809523,13611.63482,4711.169552,5016.10795,4523.631883,23.66531197,20.39162509,133.7047977,13.39268375,9.606812862,9.777993139,14.02848775,9.226232618,8.566228375,7.241509406,3.248378763,5.331077201,9.050902361,9.867094122,7.867004382,9.673260191,16.19915111,6.036484918,6.138945983,10.21369132,6.244392603,4.348763866,8.392260613,7.588654318,4.589521568,4.124182807,2.658745921,5.504187385,5.493340092,3.328088635
Panama,PAN,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,0.534928521,0.571618681,2.116457516,2.824285237,0.620057281,1.277632062,2.588672849,0.564117768,1.208192338,3.422437787,2.903339536,4.998020938,8.542225791,11.61137976,9.382834473,4.534511878,4.656795342,7.921356425,9.245217951,10.14050469,3.642165612,4.871684952,7.496956847,1.629263242,0.80956522,0.338449386,2.289302652,-0.191929168,-1.276558196,0.565205375,0.492796528,5.061059341,3.554704653,3.679745699,0.466707137,-0.942384025,1.608838937,0.997519226,0.842387066,-1.248182202,1.028214443,1.671335752,1.131364218,1.965004598,1.748321296,1.969984822,4.824939923,7.527495301,6.470959912,2.590153902,5.844098985,6.17597006,5.504170462,4.19788931,2.478768918,2.002108748,1.729147546,0.673326847,0.179845136,-1.795936478,2.168916068
Peru,PER,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,3.103334332,3.012855315,5.013799273,13.55759435,12.27796136,9.316906497,10.11510751,18.29579369,8.138430476,11.98108994,6.640342428,7.129489775,12.57553214,15.23343533,22.19156777,29.71292258,35.74134122,63.73821735,76.34984545,37.92997312,65.33058094,66.66333314,107.3968532,108.4775332,165.7349725,68.36351396,85.6496433,586.2787311,2572.325926,6261.239559,378.0405787,69.26061762,46.38468287,26.68824123,13.57879788,9.687741961,7.283131129,5.371090357,2.934545412,3.524720039,0.455248303,0.109017024,1.803724665,6.279038577,3.5037224,7.656248079,1.490675955,1.103276292,2.063698334,5.710728594,6.745787125,1.20258494,1.057234351,2.432441085,2.690520901,3.08088269,3.615658261,2.277415318,1.872216268,3.892674145,8.422193115
Paraguay,PRY,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,6.684821772,8.421275465,1.645908052,2.067739519,2.318427389,2.976767381,-3.115874986,0.518943643,2.639791538,1.264351134,5.900780436,8.523149794,20.64109115,23.5875248,6.075692829,4.540506906,10.44843875,9.21736288,19.32126636,16.53494462,15.8261734,5.474617343,15.9078209,28.84208588,26.13133012,26.89674765,27.9690683,27.2355213,31.4549196,36.60753133,25.11983702,14.08292063,12.22003496,12.57337044,11.07642719,11.42144824,3.410989241,16.25857633,10.68012791,14.66450544,13.93560469,17.94938421,15.14432465,11.83500522,12.95282412,8.855832654,12.63550564,12.22475506,3.647964919,4.655701383,5.095710539,4.798275879,4.337676095,2.857006485,1.60388801,4.134754444,2.159209292,1.960248198,3.061879455,2.203921468,7.123506029
El Salvador,SLV,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,,,,,,-1.175317359,-0.393507625,0.19483187,0.425428247,4.837511533,0.806457523,0.400316543,8.841365699,9.649147983,9.88797936,17.63421139,18.32162985,0.960013082,15.5624072,22.60128826,2.0093879,5.552900619,1.588997972,3.054087296,3.153780659,-0.948159223,2.37394371,3.905755511,3.355395245,5.105728336,7.420398311,3.419923022,8.593283736,9.804128184,10.92903407,6.581718611,3.383808374,4.230095183,0.994105168,3.27263167,3.313631655,1.510633012,2.965671413,2.717673382,4.269748696,4.321342778,4.384210282,3.526469378,-0.057031263,2.644450542,5.919358429,2.540406645,0.579466152,1.013778862,1.307617865,0.65774612,0.98656649,1.716263197,0.848014714,-0.486126809,6.088425321
Uruguay,URY,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,18.42688324,11.99061974,19.89871481,40.35151612,62.18478631,72.31778297,78.52849075,116.2491736,27.08022719,4.187470637,31.6899694,69.16706648,191.5741164,28.48703818,65.97787984,47.29149242,55.60669162,46.80166099,79.20819471,54.76270098,27.34459951,18.16226689,53.73104707,56.34960683,74.01716145,70.96333508,72.78399122,74.63639178,76.07946615,106.8366765,100.8081676,59.6236227,47.85192889,38.95718236,41.04832687,26.43173778,27.4851661,12.38390546,4.326096212,3.539308495,4.826618322,12.61627663,16.54163515,10.10505602,0.677868367,6.53333463,9.417473482,8.023536405,7.74754209,4.907025264,9.009675537,8.5575517,8.153729817,9.37224638,9.016280624,16.6136839,4.986641922,7.10189068,8.522966926,11.03737152,10.0070997
Venezuela,VEN,Inflation. GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,2.013730562,0.665054138,4.91982978,-0.366502858,2.167208836,2.64492683,2.434226821,1.065099029,1.779461779,4.358263178,8.232657592,6.268776819,11.20039449,50.10796879,2.262998149,6.193544324,8.448427271,6.086675328,21.94557925,28.02723954,12.60637591,4.284503482,3.635256583,42.55125659,10.42021083,-1.17682324,37.44452465,18.49765997,89.16312359,41.74065713,21.44961643,28.24406236,31.64582415,62.89068458,51.75990183,115.5247179,33.94745993,18.8902867,26.19271006,29.45282511,7.996904056,33.02287608,34.93375574,33.95372434,29.60405935,17.90431555,15.44847776,30.13245285,7.83166636,45.9432687,28.14919095,14.05943006,35.50267463,40.44049011,,,,,,,
